,user_name,lang,user_location,user_description,user_verified,date,text,hashtags,source
36,Fluid,en,Fortnite Ch.1,18 • Console • Fortnite Collector • Avg. 20 ping • @charlidamelio simp,False,2022-04-23 23:59:59,"New Shop! April 23, 2022 at 07:59PM 
 
Use Code ThaiGuy to Support @ThaiGuy86 💜
Use Code Dub-shot to Support 
@dubshotgaming 💜
Use Code MrsCipher to Support @MrsCipherGives 💜",,IFTTT
37,Trace,en,,Just a dude,False,2022-04-23 23:59:59,"@parbarito @NextGenPlayer …and are 100% contenders for GOTY. Regardless of your stance on either game. Will either win? Time will tell, plenty other games will come out. End of the day, just a matter of YOUR OPINION. Who cares what others think, end of the day you believe what you want",,Twitter for iPhone
38,🍑,en,,Peach | Butter's nsfw acc 🔞 (@Butter38700739) | 20👆 | Saiou 🔎🏁 | 最王 | 🔞 NSFW 🔞,False,2022-04-23 23:59:59,"@saiousai310 thank you, i really glad that you liked it🥺 i can send the sticker to  you if you want",,Twitter Web App
39,蒼夜,en,,※成人済 気まぐれお絵かきマン。ドラブラ（賢者の石 ）、白猫、原神。ゆるーく絡んで頂ければ。 ▽現在オズさんとペアアイコン。,False,2022-04-23 23:59:59,send to twitter https://t.co/rF2TwREhea,,Twitter for iPhone
40,Prof Lorna Moxham,en,"Wollongong, Australia","Professor of Mental Health Nursing @UOW; @Recovery_Camp, NED, Gardener, Animal Lover, Odd Sense of Humour (so I’m told). tweets are my own views.",False,2022-04-23 23:59:59,"Wordle 309 3/6

🟨🟨⬛🟨🟨
🟨🟨🟨🟩⬛
🟩🟩🟩🟩🟩👍",,Twitter for iPhone
41,Ganja,en,"Denver, CO","The world will be so boring without psychedelics and others only stoners will understand lmao😂

fuck 🖕the cops 
IG UN : frnkroy12  Telegram https://t.co/wbvIhHad0y",False,2022-04-23 23:59:59,@AGENTSPITS @ComeOnAileenW Yeah need your own sweater?,,Twitter for Android
42,Tri @ FurDU 2022,en,Australia,💙 Tricolor 💙 Gimme Your Rum! 🥃 Party Pirate ⚓️ Suit makers ✂️: @Suzamuri_fur & @lygaryk 🔞,False,2022-04-23 23:59:59,@FlamingPaw Good paw~,,Twitter for iPhone
43,mimaplaet,en,,No Simp,False,2022-04-23 23:59:59,@NayamiiChan Mommy 🗿,,Twitter for Android
44,perfect virgo.,en,"Detroit, MI",certified hottie.,False,2022-04-23 23:59:59,@anajahhhhh You crazy 😂,,Twitter for iPhone
45,agentuno14,en,,,False,2022-04-23 23:59:59,I love the togetherness of this Boss Babe Community!!!!! #BOSSISH https://t.co/5JASoS0i9e,['BOSSISH'],Twitter for iPhone
46,BekaRedfield,en,Sitting on my Garbage Throne ,"The Trash Panda named Beka that's here to take garbage and all the shinies. Wanna add to the garbage pile? 
Twitch Affiliate!",False,2022-04-23 23:59:59,@Skl00n_ Since I know where you work... there is a chance that those meat sticks are buried in that sea of boxes.😅 Better go on the hunt. THE HUNT FOR MEAT STICKS. https://t.co/B0iv28dgfy,,Twitter for Android
47,SpigotDrama,en,,"New SpigotDrama every hour. ""It's almost real"" - a spigot mod. Not based on real events (hopefully), for fun only! Not affiliated with any platform or person.",False,2022-04-23 23:59:59,pop4959 sues Paper developers,,Spigot Drama Generator
48,Shey,en,🇨🇦❤️ Canada  🇨🇦❤️,Tweetin’ for the politics & chattin’ ✨ Happily married 💕💋✨ Just a masterpiece trying to master peace 💫🕉🙏🏼✨💫✨ NO DMs please 🙏🏼 ✨,False,2022-04-23 23:59:59,@AymanMSNBC @AymanM @DavidJollyFL @DeeTwoCents @JoyceWhiteVance Play in words for Ms.Marge … 🙄,,Twitter for iPhone
49,skeptipolitics,en,,"Abolish prison slavery. 
Free Palestine.
Medicare for All.
Housing for All.
$2k/month retroactive.
Green New Deal.
Reparations.
Kill fast fashion.",False,2022-04-23 23:59:59,Let's not talk about how many hours I have played on The Sims.... 😆,,Twitter Web App
50,DaOne,en,,,False,2022-04-23 23:59:59,@1Finally_Famous i think ja might go for 30 tonight 🤔,,Twitter for iPhone
51,$ShibUnChained,en,Shibiverse,#SHIBARMY #SHIBTRAIN don’t pitch me I’m not interested. I do my own research. I’m not here to find dates so don’t DM me your onlyfans crap. NO FUD ALLOWED,False,2022-04-23 23:59:59,@PepperOceanna Lord I hope I am dead and gone when these foolish brainwashed children give up the freedoms we as Americans are guaranteed,,Twitter for iPhone
52,Jay! 🎗 | COMMISSIONS OPEN,en,she/her ✦ 19 ✦ 🇵🇭,#DREAM: *WHEEZE* || art: @anxieturt ———— 🟩🔨 ⚠️ #2514 | SHOP: https://t.co/3yUvpLdPlM | COMMISSIONS OPEN,False,2022-04-23 23:59:59,some of y’all need to pick and choose your battles like guys I promise not everything is as deep as u think it is,,Twitter for iPhone
53,shane mcguirk 🇮🇪 🇺🇦,en,,,False,2022-04-23 23:59:59,@Kieran_B_Sport @DFCFancast Lads don't forget we went to rovers with zero intentions of a win. 😬,,Twitter for Android
54,elffys,en,,Why wouldn't you want to know? My life in a motto.,False,2022-04-23 23:59:59,@wickedcellist @lkinkade @AngryBlackLady I only found out from a friend who has chickens. I havent seen Any news at all.,,Twitter for Android
55,Namnam🦢,en,,,False,2022-04-23 23:59:59,"Good morning, Have a good day 💜💜💜
#WheelsUp   #BamBam 
@BamBam1A https://t.co/N9VQPvc8UY","['WheelsUp', 'BamBam']",Twitter for Android
56,Apollo (Brandon),en,"Westminster, MD",23 - Photographer/ Film maker - Streamer - PSN: Apollo_177 | $apollo177| apollobusiness17@gmail.com |#DareToAchieve #tKallday,False,2022-04-23 23:59:59,@WrestlingHumble @LAKnightWWE all in due time. he'll be released and back with impact or at aew,,Twitter Web App
57,caпis aпuвis,en,T•Doт,,False,2022-04-23 23:59:59,"@NBA @Raptors Man, this brought a tear to my eye, ngl.",,Twitter for Android
58,jade harley,en,Hellmurder island,Your name is JADE. (Bot that tweets jade quotes every 30 min. Contact @deadshufflet for questions),False,2022-04-23 23:59:59,"hahaha, FAT CHANCE!!!!",,"Cheap Bots, Done Quick!"
59,Claire⁷,en,,"96' liner / 26 • Law Student Filo Army 🇵🇭 • BTS & IU 💜 • Some Red Velvet, D.O., Tablo, Twice & Taeyeon on the side ✨",False,2022-04-23 23:59:59,"Back here in stant twt for cleansing after #PasayIsPink rally, kasi need to focus on my exams 🌸😅✨",['PasayIsPink'],Twitter for iPhone
60,The Bougie Man of Soylent Hill,en,Not Quite Chicago ,"31, Married. He/they. I kink shame civility fetishists. I do not argue with minors.",False,2022-04-23 23:59:59,"@CaralhoPhilly @tinywienerbabe Yep, I just won't be donating this time.",,Twitter for Android
61,Modi's Art ▲⬤■,en,,"It's Modi Here & i DESTROY my art IRL,
for a it to live forever on the blockchain as
1of a kind #nfts 
Sold out on #FND
NOW focusing on
@DecntralizedPrj Collab!",False,2022-04-23 23:59:59,@Godriguezart Looking good mark🙌,,Twitter for Android
62,yvonne,en,,,False,2022-04-23 23:59:59,@DavidJSoldier1 FUAhole shove your trucker bull💩 !!,,Twitter for iPad
63,ℳ𝒶𝓇𝒾𝓃𝒶,en,Tarragona,perdón soy géminis,False,2022-04-23 23:59:59,@rebecabacardii serem* 🤝🏻,,Twitter for iPhone
64,WelcomeHomeWynonna,en,,,False,2022-04-23 23:59:59,"Yeah, you need to go. Girls only tonight. Engagement party. A chance for me to show my friends that I'm not a freak. #WynonnaEarp #BringWynonnaHome",,"Cheap Bots, Done Quick!"
65,Abdelrhim Nabat,en,,قبطان أعالي بحار كنت أعمل قبطان أعالي بحار علي السفن التجارية الامريكية العملاقة وحاليا متقاعد وحاصل على الجنسية الأمريكية وحاصل على معاش شهري من أمريكا,False,2022-04-23 23:59:59,@_xsaraa28 I. We'll. To. Do. That's great lam very to glad. With. Youe. Honey 💓🍯. I. Miss youe https://t.co/ols9NRXSc8,,Twitter for Android
66,𝗔yemane 🇧🇯,en,SKYPIEA,👋🏽 Freelance illustrator // ᴏᴛᴀᴋᴜ // ʟᴏᴠᴇ ᴡᴏʀᴋᴏᴜᴛ // 190cm //,False,2022-04-23 23:59:59,@les_sance @Ousen_RAM Same but little girl will always get my heart first 😔😹,,Twitter for iPhone
67,Captain Hannah but AI 🏴🟪,en,,"AI generated tweets trained on the oni pirate herself @hannahvtuber

Psycho creator and owner: @zerotoaster",False,2022-04-23 23:59:59,HOLY SHIT SHE'S SO HOT.,,hanAI
68,Peter,en,monke island,"i yearn for eternal sleep

art ig: https://t.co/JI8HUC6LdE
pixiv: https://t.co/yaPQftosEn
youtube: https://t.co/1yUVzVnJXc",False,2022-04-23 23:59:59,"For the folks new to the series, if you're hearing all this talk of a ""precursor race"" throughout AC4 and immediately thinking of that ancient aliens meme... you're basically correct. #faunline",,Twitter Web App
69,nanmag,en,,,False,2022-04-23 23:59:59,@britbristow You can! #ATailofLove,['ATailofLove'],Twitter Web App
70,The Peoples Champ,en,"Miami,The Magic City,The 305!",I am a proud father and American 🇺🇸 this isn’t political it’s about HUMANITY & DECENCY #RESIST #BlueWaveComing 🌊 #SHIBARMY #FinsUp #LETSGOHEAT #THEU,False,2022-04-23 23:59:59,"@Blockthis10 @BebbLawrence @IanKenyonNFL @gth829c SAVE IT PRINT IT, TATTOO IT ON YOU ASS I DONT GIVE A FUCK. IF IM WRONG ILL ABSOLUTELY ADMIT IT. Now what will you do when your wrong? Besides block me lmao…",,Twitter for iPhone
71,shanna,en,Oakland/Brooklyn,she/her | writer of @YoungGodComic1 | podcaster @TheMTRNetwork shanna@mtrnetwork.net | https://t.co/nkDA7HobDg,False,2022-04-23 23:59:59,@BookBlerd @pfunk1130 We don’t study history enough,,Twitter for iPhone
72,Captain No Cap 🎨,en,WorldWide ,"From the mud,Creating is what I love to do! @Opensea & @Foundation all about the art and how you feel about it! also mad love to @Wallstcyborgs #AgentOnAMission",False,2022-04-23 23:59:59,@BernardBeckford Sick 🔥🔥,,Twitter for Android
73,Jasper 'Lope - Enough is Enough,en,"West Bay, Northern California",Ex-Texan | +Sparks🐶 | Bay Area Game Dev | Cute Furry stuff + exasperated political stuff | 🔞 likes may be lewd 🔞,False,2022-04-23 23:59:59,"@BigZee68 @GeorgeTakei I mean, yeah, you don't wanna say what you really think.

That's... pretty weak?",,Twitter Web App
74,L,en,"kch,my",,False,2022-04-23 23:59:59,i hope u suffer this time,,Twitter for iPhone
75,"Network Palava - Free, Cheap Data Daily.",en,"Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",False,2022-04-23 23:59:59,Racing In Car 2 Mod Apk (Unlimited Money) https://t.co/KsgA3mPukO #games #download,"['games', 'download']",Revive Social App
76,Loudeer 🇮🇶 | cassie applogist,en,Iraq,21 y o lana stan / if you get offended by calling out religions don’t follow me,False,2022-04-23 23:59:59,@dhalifornia @KULONSITE @AKA_LlamaDelRey They hated Jesus for telling the truth,,Twitter for iPhone
77,John Perschino,en,"Florida, USA","""This is not the end. It is not the beginning of the end. It is perhaps, the end of the beginning."" Churchill   
#BLM  #SlavaUkraini 
Please! No Lists No Tags",False,2022-04-23 23:59:59,@Traceynyy A complete drubbing.,,Twitter Web App
78,LARRY WORLD DOMINATION ERA 28🏳️‍🌈,en,,"•she/her•1D, harry styles, Taylor swift, lana del Rey and billie eilish stan
•HARRY'S HOUSE MAY 20TH!!
•💚💙LARRY 💙💚
•28 
•Everyone is a little bit gay 🏳️‍🌈",False,2022-04-23 23:59:59,@sweetdaydreamsf and u?,,Twitter for Android
79,Paul of Paraphilia,en,"Los Angeles, CA",Paul (He/Him) :: Reclusive crafter :: Unapologetic egalitarian :: Just into Jojo for the fashion :: EVERY/BODY deserves autonomy :: Venmo Paul-of-PT,False,2022-04-23 23:59:59,"@Warlockdnd A left glove of swimming and climbing. Half the set means no bonus without the other.

If someone puts it on they can only swim in circles and climb left.

Never give them another.

Munchkins will hold onto it forever",,Twitter for iPhone
80,Ken Klein,en,United States,,False,2022-04-23 23:59:59,@PhilSanchezTV Your wife is not just another pretty face,,Twitter for iPhone
81,Darth Catzz ❤️♠️🌻,en,In HellyuCentral,"I love Cats, BIGBANG and now ONEUS. That's it!!",False,2022-04-23 23:59:59,@kosmoxu2 So where it is? Screenshots of change in number of votings &amp; % doesn't really shows anything of how they actually does it.,,Twitter Web App
82,uninvited.txt,en,,"Well, there you go.",False,2022-04-23 23:59:59,The water in the bathroom has almost reached your head.,,uninvited_txt
83,Global Tin Foil Shortage,en,"Boston, MA","Hot takes from an opinionated progressive with an MBA. Without voting, we have nothing - I'm here to say let's have something.",False,2022-04-23 23:59:59,"@Swedensky @jamespmanley I was saying this to someone this morning. MAGA and America First crowd don't want to handle the truth - they want a story with a particular narrative and what is for them a happy ending. Truth is irrelevant.

#ThisCountryIsFucked. I no longer have a country.",,Twitter for Android
84,Voices of Dickson,en,,,False,2022-04-23 23:59:59,Well he has form... https://t.co/2xrIHOVE2o https://t.co/nayPtQTM1D,,Twitter for Android
85,Queen of Damn Near Everything,en,,"Had to nuke my last account. Sports fan, beer lover, sarcastic AF & use all the swears. Asshole aficinado. No DM's, no MAGA. #BLM #LGBTQ #LiberalAF",False,2022-04-23 23:59:59,@QveenFeist My gorgeous friend!,,Twitter for Android
86,🌍🧟Zombie world circus 🧟‍♂️🌍,en,,🇫🇷 Horror movies fan since 1⃣9⃣8⃣6⃣ / Zombies 🧟🧟‍♀️/ Vampires 🧛‍♂️🧛‍♀️/ Slashers 🔪🩸🖤,False,2022-04-23 23:59:59,Let's go party 🪩🔪🩸 https://t.co/0o17SFpcPt,,Twitter Web App
87,poverty b hard,en,America,(She/hers) Capitalism survivor. Abolitionist.,False,2022-04-23 23:59:59,@DorothySaravan1 @iaranox_ @noimkilIingboys @HeroOfTime36 @Akshat15276018 @hencavills He did all this to her. His flipping it 🙄,,Twitter for Android
88,lele៹ jimin ost (ex rkivcypher),en,130613,"the before feels envious of the now, as i found the source of my happiness. –﹫𝗯𝗮𝗻𝗴𝘁𝗮𝗻 ♥︎",False,2022-04-23 23:59:59,@jeonstanie e a era clean andy,,Twitter for Android
89,j,en,,,False,2022-04-23 23:59:59,Today was such a slay ❤️ https://t.co/YJIatgHymT,,Twitter for iPhone
90,what's obi-wan listening to?,en,,obi-wan's spotify | not always serious | dm to submit requests! | ib:@gunshipaux,False,2022-04-23 23:59:59,obi-wan is currently listening to: from eden by hozier https://t.co/6tECJkU5TT,,Twitter for iPhone
91,Safemoon 🌼,en,The Moon ,Get on the pre-launch waitlist for the #SAFEMOONCARD now at https://t.co/ILITq0RFWc Find out about becoming a partner at https://t.co/9RSUFaA8nf,False,2022-04-23 23:59:59,"@Nicooo___13 We appreciate you joining our community and not fudding.
How many we best improve out service ? 
Kindly message our support server so we can escalate and fix. Your feedback means a lot to us. 

https://t.co/NLPwEHrSEd",,Twitter for iPhone
92,benny brainrot ! X) 🍕 || SPPGC 1 YEAR!!!,en,hell | nyxs beloved /p | 15,''u r like littol worm in my brain u have ur own home there'' - nyx petrigogy | CEO of pixel brush,False,2022-04-23 23:59:59,@petrigogy eats ur work,,Twitter for Android
93,Blake,en,,200k+ Supporters • Helping Projects Sell out 📈 • DM for Promos,False,2022-04-23 23:59:59,"@Fowmania_NFT Send me a DM, lets's talk business 🚀",,Twitter Web App
94,shannon,en,"23, she/her◟̽◞̽ ♡",with great power comes great responsibility,False,2022-04-23 23:59:59,omg my fav besties !!! https://t.co/d2EVv33aao,,Twitter for iPhone
95,Sandra Paul,en,Antipodes 💚,"Writer #writingcommunity
Eternal student
Performing Arts fan
#DanFogelbergMusician
Life is a songbird ♡",False,2022-04-23 23:59:59,@Tess_2020 Spring carpet delight! 💟,,Twitter Web App
96,mio 💭,en,don't pee on the floor ,imagine aqui uma bio perfeita que um dia farei,False,2022-04-23 23:59:59,BRIDGE,,Twitter for Android
97,melek🔪 is in denial,en,⊙leo ●capricorn ↑aries,"i make sapphic fanarts xx
                                               she/they infj",False,2022-04-23 23:59:59,PLEASE😭😭😭 https://t.co/pB3rbvAZ1M,,Twitter for Android
98,O://wilder.definitely,en,"Wiami, Wilder World","Mayoral Candidate for the city of Wiami, Wilderworld. Settles all disputes on the tarmac. $WILD $LOOT $ZERO $III",False,2022-04-23 23:59:59,"@crypto_navi @real_n3o So far 
- wheels
- crafts
- Kicks S0
- cribs
- Beasts",,Twitter for iPhone
99,Papa Dino,en,"Illinois, USA","Dakota HS sports , ND 🍀, Bears , Cubs , anything wrestling, keep looking up, never know what you might miss, Proud Papa of 7 grand kids",False,2022-04-23 23:59:59,@Mbswolf Unranked to Whom🤔 Nice pick 😎,,Twitter for iPhone
100,Melissa Mentions,en,,"Hey Guys! This account has recommendations on products, food, and everything that I love. I hope you enjoy my tweets as much as I do. 😁",False,2022-04-23 23:59:59,"So cute! 🌼 Thank you! @retroclayco 

#earrings #flowers #cute #love #Melissamentions https://t.co/poXt199wz2","['earrings', 'flowers', 'cute', 'love', 'Melissamentions']",Instagram
101,burningphoenix,en,,Bird,False,2022-04-23 23:59:59,@ChristophGolden Wish he didn’t block me for disagreeing with him on Garland,,Twitter for iPhone
102,Phil Murray,en,"Grand Rapids, MI","LIONS DIE HARD!

Beer League Hockey Champ '09 '10 '11 '12 '14 '17 '18. GVSU Alum '08. BIG TIME, Red Wings, Bronco Hockey and Sparty Football Fan!",False,2022-04-23 23:59:59,@mohr_denis @tigers @MiguelCabrera 12 years and didn’t win a playoff game… yeah he’s a bum! Get off your high horse!,,Twitter for iPhone
103,Ceasweiser,en,Fresno da 559 ,"Rrrraaaaiiiidddeeerrrrrssssss. Lakers, Dodgers, Bulldogs, Golden Knights",False,2022-04-23 23:59:59,That shit was nasty asf 🤣🤣🤣 https://t.co/ncRUg6kOrB,,Twitter for iPhone
104,Tweak Labs,en,Tweak Asylum,"Art collective merging fashion, mindfulness, & NFTs through Tweaks | Community: https://t.co/rYbXOwBT4N Mint: https://t.co/F8gWSY4k5Y",False,2022-04-23 23:59:59,@tothemaxy @BondTweak meatballmemman,,Twitter for iPhone
105,Jonners,en,,Multiclass Multispec Multirole wizard.,False,2022-04-23 23:59:59,"@Lylasu_ whenever i share a bed with @_Solanis_ he is very courteous and sharing, you should try it",,Twitter for iPhone
106,Jane Chambers,en,,,False,2022-04-23 23:59:59,"@RonFilipkowski I don’t understand how any person of color, any woman, any non-Christian or any LGBTQ plus person could vote R. When that guy giving the opening prayer gets stopped, yanked out of the car,&amp;has a gun put to his head does he really think he’s going to be saved?",,Twitter for iPad
107,evanescence lyrics,en,,"evanescence lyrics, tweeted every 10 minutes",False,2022-04-23 23:59:59,"All the promises I made, just to let you down / You believed in me but I'm broken",,"Cheap Bots, Done Quick!"
